id,title,abstract,category_1,category_2,error
10.1101/2021.11.29.470476,Activity-dependent mitochondrial transport in peri-synaptic glia drives motor function,"Neurons have an outsized metabolic demand, requiring continuous metabolic support from non-neuronal cells called glia. When this support fails, toxic metabolic byproducts accumulate, ultimately leadin...",,,
10.1101/2021.11.30.470367,Stimulus-Dependent Theta Rhythmic Activity in Primate V1 Predicts Visual Detection,"Theta-band (3-8 Hz) neural oscillations are integral to sensory processing and active exploration. Traditionally associated with higher-order areas such as hippocampus and prefrontal cortex, recent st...",Visual Perception,,
10.1101/2021.12.17.473232,Music-selective cortex is sensitive to structure in both pitch and time,"Music is distinguished from other natural sounds by the presence of relatively discrete notes, which are then organized across pitch and time to convey melody, harmony, and rhythm. Growing evidence su...",Auditory Processing,,
10.1101/2021.12.21.473383,Cilia Directionality Reveals a Slow Reverse Movement of Principal Neurons for Positioning and Lamina Refinement in the Cerebral Cortex,Currently little is known about neuronal positioning and the roles of primary cilia in postnatal neurodevelopment. We show that primary cilia of principal neurons undergo marked changes in positioning...,,,
10.1101/2021.12.22.473801,Broad generalization of the ventriloquism aftereffect across sound frequencies,Humans localise sounds in the horizontal plane by processing level and timing differences between the ears. This neurocomputational process is continuously and adaptively calibrated using visual input...,Multisensory Integration,,
10.1101/2021.12.23.474034,Cerebellar acceleration of learning in an evidence-accumulation task,"Perturbation to the cerebellum can lead to deficits in motor function, cognition, and behavioral flexibility. Here we report that a cerebellum-specific transgenic mouse autism model with disrupted Pur...",Skill Learning,Attention,
10.1101/2021.12.31.474634,AVATAR: AI Vision Analysis for Three-dimensional Action in Real-time,"Artificial intelligence (AI) is an emerging tool for high-resolution behavioural analysis and conduction of human-free behavioural experiments. Here, we applied an AI-based system, AVATAR, which autom...",,,
10.1101/2022.01.18.476852,Task-related changes in aperiodic activity are related to visual working memory capacity independent of event-related potentials and alpha oscillations,Research using electroencephalography (EEG) has shown that individual differences in visual working memory capacity are related to slow-wave event-related potentials (ERPs) and suppression of alpha-ba...,Working Memory,,
10.1101/2022.01.20.476899,Midbrain somatostatin-expressing cells control pain-suppression during defensive states,"Upon threatening situations, animals exhibit a broad range of behavioral and autonomic responses. As such, a crucial adaptive response is the inhibition of pain to facilitate relevant defensive behavi...",,,
10.1101/2022.01.22.477348,A comparison of viral strategies and model systems to target norepinephrine neurons in the locus coeruleus reveals high variability in transgene expression patterns,The locus coeruleus (LC) norepinephrine (NE) system is involved in a variety of physiological and pathophysiological processes. Refining our understanding of LC function largely relies on selective tr...,,,
10.1101/2022.01.29.478346,Spatially Periodic Computation in the Entorhinal-Hippocampal Circuit During Navigation,"To enable navigation in both physical and mental spaces, the human brain employs a cognitive map constructed from the global metrics of the entorhinal cortex and the local representations of the hippo...",Spatial Representation and Mapping,,
10.1101/2022.01.31.478476,WITHDRAWN: SARS-CoV-2 invades cognitive centers of the brain and induces Alzheimer's-like neuropathology,"Major cell entry factors of SARS-CoV-2 are present in neurons; however, the neurotropism of SARS-CoV-2 and the phenotypes of infected neurons are still unclear. Acute neurological disorders occur in m...",,,
10.1101/2022.02.08.479618,Astrocytic GABA transport contributes to abnormal inhibition in Fragile X Syndrome,Astrocytes control neural communications by influencing GABAergic transmission through uptake and synthesis of GABA. Impaired GABAergic signaling is thought to underlie cortical hyperexcitability in a...,,,
10.1101/2022.02.08.479192,Lussac: a fully-automated consensus method that increasesthe yield and quality of spike-sorting analyses,"The rise in site counts of multi-electrodes used in extracellular recordings in the brain has driven the development of increasingly automated spike-sorting packages. However, post-processing is still...",,,
10.1101/2022.02.08.479654,Convolutional networks can model the functional modulation of the MEG responses associated with feed-forward processes during visual word recognition,Neuroimaging studies have provided a wealth of information about when and where changes in brain activity might be expected during reading. We sought to better understand the computational steps that ...,Visual Perception,Language Comprehension,
10.1101/2022.02.28.482292,The ultrastructural properties of the endoplasmic reticulum govern microdomain signaling in perisynaptic astrocytic processes,Astrocytes are now widely accepted as key regulators of brain function and behavior. Calcium (Ca2+) signals in perisynaptic astrocytic processes (PAPs) enable astrocytes to fine-tune neurotransmission...,,,
10.1101/2022.03.01.481993,Age-related balance difficulties during shoulder checks increase cycling risk in older adults,"Older adults are more often involved in bike accidents than other age groups, especially in single-sided accidents (crashes without another road user). This suggests that older adults have more diffic...",Sensorimotor Coordination,,
10.1101/2022.03.01.482495,An antisense oligonucleotide-based strategy to ameliorate cognitive dysfunction in the 22q11.2 Deletion Syndrome,"Adults and children with the 22q11.2 Deletion Syndrome demonstrate cognitive, social and emotional impairments and high risk for schizophrenia. Work in mouse model of the 22q11.2 deletion provided com...",,,
10.1101/2022.03.03.482512,Causal disconnectomics of motion perception: insights from TMS-induced BOLD responses,"Understanding how focal perturbations lead to large-scale network (re)organization is essential for accurately predicting the behavioral consequences of brain lesions. In this study, we applied a  vir...",Visual Perception,,
10.1101/2022.03.09.483541,Odors drive feeding through gustatory receptor neurons in Drosophila,"Odors are intimately tied to the taste system to aid food selection and determine the sensory experience of food. However, how smell and taste are integrated in the nervous system to drive feeding rem...",Multisensory Integration,,
10.1101/2022.03.16.484460,Sst+ GPi output neurons provide direct feedback to key nodes of the basal ganglia and drive behavioral flexibility.,"The internal globus pallidus (GPi) is a basal ganglia output nucleus with separate projections to the thalamus and the lateral habenula (LHb). Here, we show a GPi subtype with projections to LHb (GPi-...",Cognitive Flexibility,,
10.1101/2022.03.20.485046,A novel method for reliably measuring miniature and spontaneous postsynaptic potentials/currents in whole-cell patch clamp recordings in the central nervous system,Measurements of miniature postsynaptic currents (mPSCs) or potentials (mPSPs) in the soma of neurons of the central nervous system (CNS) provide a way of quantifying the synaptic function at the netwo...,,,
10.1101/2022.03.29.486286,Convergent and non-additive impact of schizophrenia risk genes in human neurons,"Genetic studies of schizophrenia reveal a complex polygenic risk architecture comprised of hundreds of risk variants; most are common in the population at-large, non-coding, and act by genetically reg...",,,
10.1101/2022.04.05.487201,High frequency spike inference with particle Gibbs sampling,"Calcium-sensitive fluorescence indicators allow us to monitor the spiking activity of large neuronal populations in animal models. However, despite the plethora of algorithms developed over the past d...",,,
10.1101/2022.04.15.488302,Odorant representations indicate nonlinear processing across the olfactory system,The olfactory system comprises intricate networks of interconnected brain regions that process information across both local and long-range circuits to extract odorant identity. Similar to pattern rec...,,,
10.1101/2022.04.19.488727,Cross-modal interaction of Alpha Activity does not reflect inhibition of early sensory processing: A frequency tagging study using EEG and MEG,Selective attention involves prioritizing relevant sensory input while suppressing irrelevant stimuli. It has been proposed that oscillatory alpha-band activity ([~]10 Hz) aids this process by functio...,Attention,,
10.1101/2022.04.21.489087,Decreased spinal inhibition leads to undiversified locomotor patterns,"During walking and running, animals display rich and coordinated motor patterns that are generated and controlled within the central nervous system. Previous computational and experimental results sug...",Motor Coordination,,
10.1101/2022.04.28.489908,Attractor dynamics of a whole-cortex network model predicts emergence and structure of fMRI co-activation patterns in the mouse brain,"Resting state fMRI activity in mammals exhibits rich dynamics on a fast, frame-by-frame timescale of seconds, including the robust emergence of recurring fMRI co-activation patterns (CAPs). To underst...",,,
10.1101/2022.05.03.490165,Organic Convolution in The Ventral Visual Pathway Can Explain the Variety of Shape Tuning in Area V4,This modeling study proposes a novel theory for how V4 neurons embody selectivity to the varying degrees of curvature in diverse receptive field arrangements reported in previous recording studies. Th...,Visual Perception,,
10.1101/2022.05.17.492345,Rab10 inactivation promotes AMPAR trafficking and spine enlargement during long-term potentiation,"Rab-dependent membrane trafficking is critical for changing the structure and function of dendritic spines during synaptic plasticity. Here, we developed highly sensitive sensors to monitor Rab protei...",Episodic Memory,Lifelong Learning,
10.1101/2022.06.16.496481,Nascent dendrite branches initiated by a localized burst of Spire-dependent actin polymerization.,"Dendrites form arbors whose size, shape and complexity define how neurons cover their receptive territories. Actin dynamics contribute to growth and remodeling of dendrite arbors. Here we examined how...",,,
10.1101/2022.06.17.496647,A multiplex of connectome trajectories enables several connectivity patterns in parallel,Complex brain function comprises a multitude of neural operations in parallel and often at different speeds. Each of these operations is carried out across a network of distributed brain regions. How ...,,,
10.1101/2022.06.20.496835,"Mammals, birds and reptiles evolved with signature proportions of numbers of neurons across their brain structures","Modern mammals, birds, and ""reptiles"" (squamates, turtles and crocodiles) share their developmental and evolutionary origins in the ancestral, stem amniotes of 300 million years ago. This study explor...",,,
10.1101/2022.06.25.497598,A topological method of generating action potentials and EEG oscillations in a surface network,"The brain is a source of continuous electrical activity, which include one dimensional voltage pulses (action potentials) that propagate along nerve fibres, transient localised oscillations, and persi...",,,
10.1101/2022.07.05.498816,Proteomic signature and mesenchymal stromal/stem cell-derived extracellular vesicle treatment of iPSC motor neurons from different ALS patient groups,"Motor neurons (MNs) derived from human induced pluripotent stem cells (iPSCs) offer a powerful model to study motor neuron diseases, such as amyotrophic lateral sclerosis (ALS). While widely used, our...",,,
10.1101/2022.07.05.498835,"Even if suboptimal, novelty drives human exploration","Humans successfully explore their environment to find  extrinsic rewards, even when exploration requires several intermediate reward-free decisions. It has been hypothesized that  intrinsic rewards su...",Planning,Decision-making,
10.1101/2022.07.06.498950,Somatostatin interneurons in auditory cortex contribute to perceptual categorization,"In the mammalian neocortex, somatostatin (SOM)-expressing GABAergic interneurons serve as a critical circuit component, receiving diverse inputs and targeting various types of cortical neurons. Howeve...",Auditory Processing,Decision-making,
10.1101/2022.07.11.499525,From Belief to Brain: How Growth Mindset Optimizes Cortico-Striatal Dynamics for Cognitive Development,"Growth mindset--the belief that abilities are malleable through effort--drives motivation, action and achievement. Yet, the underlying mechanisms remain elusive, necessitating a unified framework that...",Working Memory,Cognitive Flexibility,
10.1101/2022.07.15.500198,Switching from tonic to burst firing creates an attractor in synaptic weight dynamics,1Neural circuits often alternate between tonic and burst firing - two distinct activity regimes that reflect changes in excitability and neuromodulatory state. While tonic firing produces asynchronous...,,,
10.1101/2022.07.15.500254,Choice-Induced Preference Change under a Sequential Sampling Model Framework,"Sequential sampling models of choice, such as the drift-diffusion model (DDM), are frequently fit to empirical data to account for a variety of effects related to accuracy/consistency, response time (...",Decision-making,,
10.1101/2022.08.01.502331,A topological connectome surface network with spin-half particles can produce brain-like signals and store memory,In this paper we use the methods of theoretical physics to show how brain-like signals can be generated in a special surface network with the topological connectivity of the biological brain by exploi...,,,
10.1101/2022.08.02.501652,In vivo Quantification of Neural Criticality and Complexity in Mouse Cortex and Striatum in a Model of Cocaine Abstinence,"Self-organized criticality is a hallmark of complex dynamic systems at phase transitions. Systems that operate at or near criticality have large-scale fluctuations or ""avalanches"", the frequency and d...",,,
10.1101/2022.08.31.505596,Stress History Modulates CRF Neurons to Establish Resilience,"IntroductionCumulative stress is a major risk factor for developing major depressive disorder (MDD), yet not everyone experiencing chronic stress develops MDD. In those who do not, it is unclear at wh...",Autonomic Regulation,,
10.1101/2022.09.04.506524,Distinct patterns of PV and SST GABAergic neuronal activity in the basal forebrain during olfactory-guided behavior in mice,"Sensory perception relies on the flexible detection and interpretation of stimuli across variable contexts, conditions, and behavioral states. The basal forebrain is a hub for behavioral state regulat...",Decision-making,,
10.1101/2022.09.06.506303,Continuous vibration-driven virtual tactile motion perception across fingertips,"Motion perception is a fundamental function of the tactile system, essential for object exploration and manipulation. While human studies have largely focused on discrete or pulsed stimuli with stagge...",Tactile Perception,,
10.1101/2022.09.14.507974,The coarse mental map of the breast is anchored on the nipple,"AO_SCPLOWBSTRACTC_SCPLOWTouch plays a key role in our perception of our body and shapes our interactions with the world, from the objects we manipulate to the people we touch. While the tactile sensib...",Tactile Perception,Spatial Representation and Mapping,
10.1101/2022.09.16.508346,Acute stress impairs target enhancement rather than distractor suppression in attention selection: Evidence from the N2pc and PD,"BackgroundStudies have shown that acute stress significantly impacts the selection of emotional stimuli. However, the extent to which acute stress affects the cognitive mechanisms underlying target en...",Attention,,
10.1101/2022.09.27.509533,"Trends in Self-citation Rates in High-impact Neurology, Neuroscience, and Psychiatry Journals","Citation metrics influence academic reputation and career trajectories. Recent works have highlighted flaws in citation practices in the Neurosciences, such as the under-citation of women. However, se...",,,
10.1101/2022.09.30.510270,Accelerated signal propagation speed in human neocortical dendrites,"Human-specific cognitive abilities depend on information processing in the cerebral cortex, where the neurons are significantly larger and their processes longer and sparser compared to rodents. We fo...",,,
10.1101/2022.09.30.510181,The unique synaptic circuitry of specialized olfactory glomeruli in Drosophila melanogaster,"In the Drosophila olfactory system most odorants are encoded in the antennal lobe in a combinatory way, activating several glomerular circuits. However, odorants of particular ecological role for the ...",,,
10.1101/2022.10.03.510559,Crosstalk between AQP4-dependent ATP/Adenosine release and dopamine neurotransmission in depressive behavior during cocaine withdrawal,"Our previous study has demonstrated the AQP4-dependent ATP release and following elevation of extracellular adenosine in hippocampal slices during hypo-osmotic treatment. In the present study, we exam...",,,
10.1101/2022.10.03.510596,Orofacial movements: Individuality and stereotypy when mice move a single whisker to touch,"A key function of the brain is to move the body through a rich, complex environment. When rodents engage with their environment, they move their whiskers as they extract tactile information. Even thou...",Sensorimotor Coordination,,
10.1101/2022.10.03.510694,Reconstructing Circuit Connectivity from in vivo Spike Trains Using Deep Domain-Adaptive Matching,"Accurately inferring neural circuit connectivity from in vivo recordings is essential for understanding the computations that support behavior and cognition. However, current deep learning approaches ...",,,
10.1101/2022.10.07.511265,Drosophila epidermal cells are intrinsically mechanosensitive and modulate nociceptive behavioral outputs,"Somatosensory neurons (SSNs) that detect and transduce mechanical, thermal, and chemical stimuli densely innervate an animals skin. However, although epidermal cells provide the first point of contact...",,,
10.1101/2022.10.23.513371,From Initial Formation to Developmental Refinement: GABAergic Inputs Shape Neuronal Subnetworks in the Primary Somatosensory Cortex,"Neuronal subnetworks, also known as ensembles, are functional units formed by interconnected neurons for information processing and encoding in the adult brain. Our study investigates the establishmen...",,,
10.1101/2022.10.21.513221,The effects of external cue overlap and internal goals on selective memory retrieval as revealed by electroencephalographic (EEG) neural pattern reinstatement,"1.For past experiences to guide our actions we need to retrieve the relevant memories. Here, we used electroencephalography (EEG) to investigate how memories are selected for retrieval, and to test ho...",Episodic Memory,Attention,
10.1101/2022.10.28.513278,The neural basis of cost-benefit trade-offs in effort investment: a quantitative activation likelihood estimation meta-analysis,"Influential theories of cognitive effort-based decision-making suggest that shared brain regions process both potential reward and task demand, supporting the idea that a cost-benefit trade-off inform...",Decision-making,Reward Mechanisms,
10.1101/2022.10.31.514622,LRRK2 regulates synaptic function through modulation of actin cytoskeletal dynamics,Parkinsons disease (PD) is a multisystemic disorder that manifests through motor and non-motor symptoms. Motor dysfunction is the most debilitating and it is caused by the degeneration of dopamine-pro...,,,
10.1101/2022.10.31.514494,Online versus Cognitive Control: A Dividing Line between Physical Action and Motor Imagery,"Recent work in our lab has shown that motor imagery is highly sensitive to tasks that interfere with executive resources, whereas physical actions are largely immune. This has been taken as support fo...",,,
10.1101/2022.11.07.515423,Age-related changes in 'cortical' 1/f dynamics are linked to cardiac activity,"The power of electrophysiologically measured cortical activity decays with an approximately 1/fX function. The slope of this decay (i.e. the spectral exponent, X) is modulated by various factors such ...",,,
10.1101/2022.11.08.515692,Synaptic Connectivity of Sensorimotor Circuits for Vocal Imitation in the Songbird,"Sensorimotor computations for learning and behavior rely on precise patterns of synaptic connectivity. Yet, we typically lack the synaptic wiring diagrams for long-range connections between sensory an...",,,
10.1101/2022.11.14.516510,Circuit-specific selective vulnerability in the DMN persists in the face of widespread amyloid burden.,The relationship between brainwide functional decline and accumulation of pathological protein aggregates in Alzheimers disease (AD) is complex and not well understood. A set of highly interconnected ...,Episodic Memory,,
10.1101/2022.11.21.517329,Forward planning in a population-based alcohol use disorder sample,"BackgroundEtiological theories of addictive behavior postulate a key role for decision-making mechanisms. However, current research is lacking clear computational models for decision-making in multi-s...",Planning,,
10.1101/2022.11.23.517759,Progressive neural engagement within the IFG-pMTG circuit as gesture and speech entropy and MI advances,"Semantic representation emerges from distributed multisensory modalities, yet a comprehensive understanding of the functional changing pattern within convergence zones or hubs integrating multisensory...",Multisensory Integration,Semantic Understanding & Context Recognition,
10.1101/2022.11.26.518013,Mental Effort Cost Learning is Retrospective,"To understand why people avoid mental effort, it is crucial to reveal the mechanisms by which we learn and decide about mental effort costs. This study investigated whether mental effort cost learning...",Reward Mechanisms,Decision-making,
10.1101/2022.11.26.517884,Separating the control of moving and holding in post-stroke arm paresis,Moving and holding-still (holding) have been posited to be under separate control regimes for both eye and arm movements. The paretic arm after stroke exhibits different abnormalities during rest vs. ...,Motor Coordination,Sensorimotor Coordination,
10.1101/2022.11.29.518323,Long-range inhibitory axons from medial entorhinal cortex target lateral entorhinal neurons projecting to the hippocampus,The functionally different lateral entorhinal cortex (LEC) and medial entorhinal cortex (MEC) are strongly interconnected. The role of this interconnectivity in view of their functional differences is...,,,
10.1101/2022.11.28.518209,"Remembering the ""When"": Hebbian Memory Models for the Time of Past Events","Humans and animals can remember how long ago specific events happened. Little is known about the neural mechanisms that enable remembering the ""when"" of memories stored for long durations in the episo...",Episodic Memory,,
10.1101/2022.12.01.518660,Cross-Species BAC Transgenesis Reveals Long-Range Regulation Drives Variation in Brain Oxytocin Receptor Expression and Social Behaviors,"Although oxytocin (OXT) exhibits a highly conserved neuroanatomical pattern among vertebrates, the distribution of OXT receptor (OXTR) in brain varies considerably across species and is associated wit...",Social Functions,,
10.1101/2022.12.01.518177,Investigation of whether oxytocin and trust play a role in placebo effects of marketing actions,"Expectations about the quality of a medical treatment influence how much an inert treatment helps to improve patient well-being. Similarly, expectations about the quality of products influence how ide...",,,
10.1101/2022.12.01.518777,"The interplay of uncertainty, relevance and learning influences auditory categorization","Auditory perception requires categorizing sound sequences, such as speech or music, into classes, such as syllables or notes. Auditory categorization depends not only on the acoustic waveform, but als...",Auditory Processing,Decision-making,
10.1101/2022.12.03.518964,A cortical circuit for orchestrating oromanual food manipulation,The seamless coordination of hands and mouth--whether in humans eating corn on the cob or mice extracting sunflower seeds--represents one of evolutions most sophisticated motor achievements. Whereas s...,Motor Coordination,Sensorimotor Coordination,
10.1101/2022.12.08.519675,Spontaneous activation of cortical somatosensory networks depresses their excitability in preterm human neonates,"In the developing cortex of preterm human infants, neuronal activity is discontinuous - characterized by sudden, high-amplitude bursts that interrupt periods of quiet background activity. While the fu...",Tactile Perception,,
