id,title,abstract,category_1,category_2
10.1007/978-1-4419-1452-1_13,"Cognitive algorithms and systems of episodic memory, semantic memory, and their learnings","Explicit (declarative) memory, the memory that can be ―declared‖ in words or languages, is made up of two dissociated parts: episodic memory and semantic memory. This dissociation has its neuroanatomi...",Episodic Memory,Semantic Understanding & Context Recognition
10.31234/osf.io/mupqy,Towards a Unified Theory of False Memory for Similar Episodes,"Important advances have been made in understanding the roles that recollection and familiarity, true and false memory, as well as pattern separation and pattern completion play in episodic memory, usi...",Episodic Memory,
10.31234/osf.io/3vn96,Enhanced metacognition for unexpected action outcomes,Metacognition allows us to explicitly represent the uncertainty in our perceptions and decisions. Recent theories suggest that we use predictive models of our environment to optimise these introspecti...,Self-reflection,Adaptive Error Correction
10.31234/osf.io/h58tw,Neurotransmitter Imbalance in Age-Related Hearing Loss: An MRS Study of the Auditory Cortex,Recent advances in spectral editing magnetic resonance spectroscopy (MRS) allow reliable quantification of γ-aminobutyric acid (GABA) and glutamate concentrations in the human brain. Both GABA as well...,Auditory Processing,
10.31234/osf.io/xtb3k,Electrophysiological Correlates of the Uncanny Valley,"To understand how the brain responds to robots with varying levels of human-likeness, we investigated the electrophysiological neural correlates of the uncanny valley effect while human observers view...",Face Recognition,Semantic Understanding & Context Recognition
10.31234/osf.io/kz9c3,"I See, You See: Investigating Theory of Mind using CAVE-VR and EEG","Communication involves understanding the difference between our own perspective (e.g., visual perspective, beliefs and knowledge) and that of an addressee. Previous research found that knowledge about...",Theory of Mind,Language Comprehension
10.31234/osf.io/hqcwa,Predictive Processing in Sport and Exercise Science: A Scoping Review and Theoretical Overview,"This scoping review explored the application of predictive processing in sport and exercise science, examining how cognitive and computational models have been used to understand perceptual-motor skil...",,
10.31234/osf.io/34jhy,Scale-free alpha dynamics bias intrinsic over extrinsic values in free choice,"Scale-free temporal structure in resting-state intrinsic neural activity has been proposed to support the interaction between internal and external cognition, but its role in decision making remains u...",Decision-making,
10.31234/osf.io/eg7k9,The AD Spectrum Hypothesis and A Multidomain Behavioral Framework for Early Detection,Early diagnosis of Alzheimer’s disease (AD) remains limited by reliance on cognitive symptoms that appear only after significant neurodegeneration has occurred. Although the traditional memory-first m...,,
10.31234/osf.io/jcas6,The Dual Role of Spatial Attention in Spatial-Numerical Associations,"The SNARC effect is usually defined as the compatibility between Response hand and Numerical magnitude (R/SNA), with faster left-hand responses to small numbers and faster right-hand responses to larg...",Attention,Spatial Representation and Mapping
10.31234/osf.io/fytmu,Examining the cerebral-cerebellar connectivity during spelling tasks.,"The cerebellum has long been implicated in language processes, but its precise role in spelling subcomponents such as orthographic retrieval and phoneme-grapheme conversion planning remains underexplo...",Language Production,
10.31234/osf.io/9mcdp,The neural underpinnings of the normative decision-making processes: A scoping review,"Social norms guide everyday interactions, yet the neural processes through which they shape
choices remain inconclusive. We conducted a preregistered scoping review (OSF DOI:
10.17605/OSF.IO/G379N) to...",Decision-making,Social Functions
10.31234/osf.io/t6q4z,Retrieval Stopping in Delayed Fear Extinction,Intrusive thoughts following traumatic experiences are common and may be conditioned responses to trauma cues. Fear extinction reduces these responses. The timing of extinction influences its underlyi...,Inhibitory Control,Episodic Memory
10.31234/osf.io/4wbcn,"Associations between lifestyle, genetic risk for Alzheimer's disease, and longitudinal brain atrophy in UK Biobank (N=3224)","Background and Objectives: Modifiable lifestyle behaviours associated with brain health include smoking, diet, alcohol intake, sedentary behaviour and physical inactivity. However, longitudinal eviden...",,
10.31234/osf.io/xef3k,An Exploration into Whether the Silva Mind Control Method Impacts Stress and Performance Levels in Individuals Engaged in Physical Activity.,"Abstract
The Silva Mind Control Method (SMCM) is a mind–body practice that utilises deep relaxation, mental imagery, and positive affirmations to enhance stress management and performance by promoting...",,
10.31234/osf.io/fp69k,Judging orientation does not elicit the Spatial-Numerical Association of Response Codes: Evidence against the Neural Overlap Hypothesis,"According to the neural overlap hypothesis (Fias et al., 2001) magnitude information is automatically extracted from digits when there is a sufficient degree of neural overlap between structures dedic...",,
10.31234/osf.io/9p5b8,Distinct Influences of Timing Predictions on Content Processing in Music and Speech: An EEG and Behavioural Investigation,"Prediction is a fundamental cognitive process that allows us to anticipate the content (“what”) and timing (“when”) of upcoming events. However, it is unclear how these predictions are integrated with...",Cognitive Timing & Predictive Modeling,Auditory Processing
10.31234/osf.io/u3ka2,State-Level Brain Dynamics Reveal Neural Correlates of Negative-Mode Rigidity in NSSI,"Non-suicidal self-injury (NSSI) is marked by persistent difficulty disengaging from aversive internal states, yet the neural dynamics that may support this clinical rigidity remain poorly understood. ...",Cognitive Flexibility,
10.31234/osf.io/w7dje,A Systematic Review on Dysconnectivity in Face and Emotion Processing Networks in Schizophrenia,"Introduction
         Schizophrenia is a complex psychiatric disorder which affects approximately 20 million people worldwide. Patients show face processing deficits which greatly affects their social...",,
10.31234/osf.io/7tvqe,Temporal Dissociation Between Inter-Area and Local Neural Signals in Perceptual Choice,"erceptual decisions arise from neural activity distributed across multiple brain regions, yet it remains unclear how inter-area interactions and local population activity differentially contribute to ...",Decision-making,Visual Perception
10.31234/osf.io/52mv8,Methodological and Ethical Concerns in Interpreting the Biological Effects of Meditation Retreats,"In a newly published article, Jinich-Diamant et al. (2025) report neural, molecular, and cellular changes following a 7-day retreat led by Joe Dispenza. Although the study presents an extensive range ...",,
10.31234/osf.io/fd24w,Perceptions of the impact of social media on mental health and recommendations for an app-based intervention: Findings from a co-designed survey,"Introduction: Social media use has become a ubiquitous part of our lives, but it is increasingly linked to a number of mental health issues. Given the growing incidence of mental illness globally, it ...",,
10.31234/osf.io/kv43n,Life on the Cusp: The Trident G Theory of General Intelligence,"Standard formulations of the free-energy principle treat adaptive agents as pure surprise minimisers, but in non-stationary niches this can drive brittle, energetically costly behaviour. This article ...",,
10.31234/osf.io/3s5cx,"Modeling multidisciplinary data in developmental neuroscience: A structured approach to integrating brain, behavior, and environmental influences","Large-scale developmental studies increasingly collect data across multiple disciplines such as neuroscience, psychology, and genetics. Combining these data offers new opportunities for understanding ...",,
10.31234/osf.io/hp7cj,Expectations about precision alter speech perception,Bayesian models of the mind suggest that we estimate the reliability or ‘precision’ of incoming signals to guide perceptual inference and to construct feelings of uncertainty about our percepts. Howev...,Auditory Processing,
10.31234/osf.io/cqr5w,The self-allocation bias – behavioral and neural characterization of a newly identified bias for individual performance and contribution in cooperative tasks,"Human cooperation often involves performing joint tasks, where success relies on how collective rewards are allocated among cooperating parties based on their individual performance and contributions ...",Decision-making,Social Functions
10.31234/osf.io/9quzp,Towards Molecular Specificity in Pharmacoimaging,"Molecular-enriched fMRI promises to bridge the gap between neurotransmitter systems and macro-scale network dynamics, yet empirical validation has remained elusive. Commenting on van den Bosch and Coo...",,
10.31234/osf.io/x3pcn,"Qualia structures collapse for geometric shapes, but not faces, when spatial attention is withdrawn","The effects of top-down attention on perception have been intensively studied using binary categorization tasks (e.g., seen vs. unseen). However, such tasks poorly characterise the quality of experien...",Attention,Visual Perception
10.31234/osf.io/pav2e,Cognitive outcomes of a personalized stimulation protocol in Hurler-Scheie syndrome: A single-case study,"Preserving neurocognitive function is essential for maintaining autonomy in individuals with chronic conditions. Hurler-Scheie syndrome (HS), a rare metabolic disorder, has been associated with domain...",,
10.31234/osf.io/yqj5s,Abstractness and Social Interaction Through a New Lens: The Potentialities of Hyperscanning in Naturalistic Settings,"Concepts, typically classified into more abstract (e.g., “chair”) and more concrete (e.g., “friendship”), are the mental shortcuts that people commonly use to organize knowledge and navigate their inn...",,
10.31234/osf.io/276vh,"Computational Modeling of Rhythmic Expectations: Perspectives, Pitfalls, and Prospects","Rhythmic structure enables precise temporal expectations that are essential to human communication, including speech and music. Computational models have been developed to account for how humans perce...",,
10.31234/osf.io/yxhzv,Virtual Grid Aggression Tasks Reveal Intention-Dependent Cooperation and Affective Responses to Digital Agents,"Aggressive and cooperative responses can both be adaptive depending on the intentions and the appearance of the interaction partners. However, few approaches combine dynamic decision-making between ag...",Decision-making,Social Functions
10.31234/osf.io/rvs2x,Set-Shifting and Task-Switching Make Differential Contributions to Divergent Thinking in Adolescence,"Background: Cognitive flexibility, as the capacity to adaptively shift between mental sets, comprises multiple subprocesses, including set-shifting and task-switching. Divergent thinking, a core aspec...",Cognitive Flexibility,
10.31234/osf.io/m2n6r,Aperiodic EEG features of cognition: A systematic review,"A defining feature of electroencephalography (EEG) data is its 1/f-like spectral structure, wherein power decreases as frequency increases. This feature captures non-oscillatory activity, referred to ...",,
10.31234/osf.io/uatbq,The Temporal Dynamics of Social Interaction,"Social interactions require integrating information across multiple timescales, yet the underlying mechanisms remain unclear. We review evidence suggesting that intrinsic neural timescales (INTs) may ...",Theory of Mind,Social Functions
10.31234/osf.io/46etx,Reward responses to food stimuli across sensory modalities: hunger modulates wanting differentially for pictures and odors,"As a need state, hunger alters how we evaluate the rewarding perceptual properties of food. Whether this modulation targets specific components of food reward and to what extent it depends on the sens...",Motivational Drives,Reward Mechanisms
10.31234/osf.io/7jnr4,Distinct motor preparatory signals for coarse vs fine temporal control of action,"Making each action at the right time is crucial for motor control. In this study, we investigated how two prominent motor preparatory processes identified in human EEG — beta-band desynchronization an...",Planning,Motor Coordination
10.31234/osf.io/enxb2,"Cognitive maps are flexible, dynamic, (re)constructed representations",Spatial navigation is the ability to purposefully move from one location to another. Central to many theories of navigation is the proposal that we build a ‘cognitive map’ of our external environment....,Spatial Representation and Mapping,
10.31234/osf.io/wumc4,Foreign Language Learners Show a Kinematic Accent in Their Co-speech Hand Movements,"Humans typically move and vocalize in a time-synchronized fashion, aligning prominence-lending hand movements to acoustically emphasized syllables. This requires complex coordination. When speaking a ...",Sensorimotor Coordination,Language Production
10.31234/osf.io/bauzp,An attempt to push mental imagery over the reality threshold using non-invasive brain stimulation,"Visual imagery and perception are associated with similar patterns of activation in the visual cortex. While an efficient re-use of neural resources, this overlap leads to the question of how imagery ...",Visual Perception,Self-reflection
10.31234/osf.io/eck8x,What does it mean to be cognitively and socially active in the context of dementia risk reduction? An integrative review,"The Lancet Commission on dementia prevention, intervention, and care recommends cognitive and social activities as protective against dementia risk in middle-aged and older adults. However, a lack of ...",,
10.31234/osf.io/sutrc,Advancing the science of consciousness: from ethics to clinical care,"Significant advances in the scientific investigation of the neurobiology of consciousness have been slow to be translated into clinical settings, limited by factors of conceptual (e.g., what is consci...",,
10.31234/osf.io/mdu38,Cognitive pathways describing ketamine’s effect on affective memories,The discovery of ketamine’s rapid antidepressant properties in the past two decades put the glutamate system in the spotlight as a neurobiological treatment target for depression. One neurocognitive m...,Episodic Memory,
10.31234/osf.io/uej6g,The “Schizophrenia is 80% Heritable” Fallacy:  Deconstructing a 2003 Twin Study Meta-Analysis,The mainstream psychiatry literature contains the ubiquitous and mostly unchallenged claim that schizophrenia is roughly 80% heritable. A 2003 twin study meta-analysis by genetic researchers Patrick F...,,
10.31234/osf.io/dkmb9,Parameter-Effect Mappings of Cortical and Subcortical Low-Intensity Focused Ultrasound Neuromodulation in Humans: A Comparative Review,"Transcranial low-intensity focused ultrasound (LIFU) has emerged as a promising technology for non-invasive, spatiotemporally precise modulation of human brain activity, offering access to deep struct...",,
10.31234/osf.io/2k9h4,Embodied attention shapes temporal cognition: effects of gaze direction and optokinetic stimulation on mental time travel and age judgement,"Does visuospatial attention influence temporal cognition? In Study 1, we investigated whether gaze direction can modulate different aspects of temporal processing. Participants performed a Mental Time...",Attention,Spatial Representation and Mapping
10.31234/osf.io/tw2ap,The Influence of Sense of Agency on Learning,"In many real-life situations learning is an active process of engaging with new information, experimenting and integrating new experiences to build meaningful understanding. However, learning can have...",Lifelong Learning,
10.31234/osf.io/yrbv7,Investigating the impact of preterm birth on theory of mind development in five-year-old children,"Abstract 
Background 
Behavioural studies suggest atypical/delayed development of “theory of mind” (ToM; our ability to reason about others’ mental states) following preterm birth. We used functional ...",Theory of Mind,
10.31234/osf.io/snmgh,Adaption and Validation of the Evaluation of Auditory Responses to Speech (EARS) Test Battery in Lebanese Arabic for Pediatric Cochlear Implant Users,Objectives: The Evaluation of Auditory Responses to Speech (EARS) test battery is an important tool in the assessment of auditory development in pediatric cochlear implant (CI) recipients in different...,,
10.31234/osf.io/tzfng,Primary Motor Cortex is Causally Involved in Mental Rotation of Abstract Figure and Hands: a TMS study,"Activation of primary motor cortex (M1) has been observed in some neuroimaging studies of
mental rotation (MR). However, the functional relationship between M1 and MR remains
unclear. Multiple studies...",Scene Understanding / Visual Reasoning,
10.31234/osf.io/c3unf,Prenatal Behavioral Contagion: Maternal Yawning and Fetal Resonance,"The prenatal period is a critical window for the emergence of sensorimotor coordination and early relational processes. Within this framework, yawning—a stereotyped behavior linked to arousal regulati...",,
10.31234/osf.io/4q6uz,Baby Steps in Conscious Experiences:  a Developmental Perspective,This chapter addresses the problem of conscious subjective experiences from a developmental perspective. The aim is to argue that tackling the nature of conscious experiences from the priviledged stan...,,
10.31234/osf.io/etvb6,The spatial reach of affective touch: a new perspective on social peripersonal space,"Peripersonal space (PPS) is defined as a sector of space surrounding the body, serving as a sensory-motor system for hand-object interaction. This portion of space, delimited by our skin and the reach...",Multisensory Integration,Tactile Perception
10.31234/osf.io/xteg4,Conditioned pain is resistant to memory reactivation and affective working memory interference: Evidence from reconsolidation,"Under the theory of memory reconsolidation, memory reactivation induces a temporary window of destabilisation during which memories become malleable. Behavioural reconsolidation interference has been ...",,
10.1038/s44159-025-00514-1,How physical information is used to make sense of the psychological world,"Across the cognitive sciences, researchers have studied theory of mind (making sense of other people’s behaviors in terms of their mental states, or ‘naive psychology’) and physical reasoning (making ...",Theory of Mind,Scene Understanding / Visual Reasoning
10.31234/osf.io/6a5d3,Towards a Novel Contactless Autonomic Biomarker: investigating the relationship between heart rate variability and facial temperature during resting state,Facial temperature has been proposed as a non-invasive marker of autonomic nervous system (ANS) activity. Previous research indicates that nose-tip temperature increases with parasympathetic activatio...,Autonomic Regulation,
10.31234/osf.io/8c4sr,Distinguishing Agency and Subjectivity in Anesthesia: A Review of Neural Mechanisms and Conceptual Frameworks,"Anesthesia is an essential practice in modern medicine, however, it has complex and varied effects on consciousness. Variations in conscious states, such as awareness after anesthesia, highlight the d...",,
10.31234/osf.io/8ubct,Delayed Planning in Human Decision Making,"Planning is an expensive computational operation that easily exhausts our cognitive resources. For this reason, it is critical to learn strategies to initiate planning wisely. Although recent advances...",Planning,Decision-making
10.31234/osf.io/7abxt,Cognitive Biases in Physician Decision-Making: A Systematic Review,"Cognitive biases may affect physician decision-making. We sought to: 1) delineate which cognitive biases in physicians have been investigated, 2) report the prevalence of cognitive biases, 3) determin...",Decision-making,
10.31234/osf.io/ds63a,CONTROL PARADOX: a neurocomputational reinterpretation of access to deep mental processes,The “Control Paradox” introduces an innovative perspective on the relationship between cognitive control and access to deep mental processes. The theory holds that consciousness does not facilitate th...,,
10.31234/osf.io/6hr4w,Depression and Reward Function in Adolescence and the Potential of Behavioural Activation as a Treatment: A Narrative Review,"Depression in adolescence is associated with poorer outcomes than adult-onset depression. While effective treatment can prevent difficulties from persisting into adulthood, current interventions for a...",,
10.31234/osf.io/57zj4,"Association: one term, five concepts","‘Association’ is certainly one of the most prevalent terms in the study of mind, brain and behavior. It applies to actions, stimuli, neurons, brain areas, ideas, words, etc. However, we argue that thi...",,
10.31234/osf.io/kwnma,Domain-Specific Effects of Hunger on Attention and Choice,"Hunger leads to less healthy decision-making, but its effect on decision-making in non-food domains is less clear. To close this gap, we investigated to what extent hunger state affected choice across...",Decision-making,Attention
10.31234/osf.io/7cxf5,"Atypical Affective Touch in Autism Spectrum Disorder: Integrating Neural, Cognitive, and Developmental Perspectives","Affective touch, a form of tactile stimulation conveying emotional and social significance, plays a key role in early development and interpersonal bonding. Autism Spectrum Disorder (ASD), a neurodeve...",,
10.31234/osf.io/pygjv,Targeting Blood-Brain Barrier Dysfunction: A Therapeutic Approach in the Treatment of Alzheimer’s Disease,With the long-term care costs for people living with Alzheimer’s disease (AD) and other dementias estimated to increase to $16.9 trillion and 115.8 million disability-adjusted life years (DALYs) lost ...,,
